DISTRICT,DISTNAME,DPETALLC,ASIAN,AMERICAN INDIAN OR ALASKA NAT,NATIVE HAWAIIAN/OTHER PACIFIC,HISPANIC/LATINO,BLACK OR AFRICAN AMERICAN,TWO OR MORE RACES,Special Education,WHITE,Economic Disadvantage
31916,SOUTH TEXAS ISD,3375,354,0,0,2767,37,30,50,185,1933
32902,PITTSBURG ISD,2433,26,14,0,917,430,58,250,982,1953
33901,GROOM ISD,136,0,0,0,14,0,2,13,118,45
33902,PANHANDLE ISD,643,1,5,1,57,10,3,55,563,127
33904,WHITE DEER ISD,369,0,4,0,46,0,4,29,314,160
34901,ATLANTA ISD,1782,10,7,1,126,605,67,178,962,1177
34902,AVINGER ISD,167,0,0,0,12,32,15,14,108,141
34903,HUGHES SPRINGS ISD,1231,3,3,1,119,152,48,93,901,760
34905,LINDEN-KILDARE CISD,742,11,2,0,68,167,25,77,468,526
34906,MCLEOD ISD,380,1,1,0,1,4,1,36,370,134
34907,QUEEN CITY ISD,1033,5,9,0,27,137,41,88,812,564
34909,BLOOMBURG ISD,276,3,6,0,8,11,1,25,245,163
35901,DIMMITT ISD,1233,4,2,0,1055,16,2,93,150,1083
35902,HART ISD,246,0,0,0,233,3,1,18,5,223
35903,NAZARETH ISD,227,0,2,0,24,2,0,12,197,41
36901,ANAHUAC ISD,1219,25,7,0,381,157,34,93,615,648
36902,BARBERS HILL ISD,4900,34,29,0,1038,151,107,328,3537,950
36903,EAST CHAMBERS ISD,1419,12,1,0,561,117,22,110,702,800
37901,ALTO ISD,646,1,0,0,200,171,27,69,244,405
37904,JACKSONVILLE ISD,4976,24,19,4,2463,840,124,422,1502,3970
37907,RUSK ISD,2207,4,6,0,331,300,61,251,1502,1284
37908,NEW SUMMERFIELD ISD,539,3,1,0,431,21,3,38,79,514
37909,WELLS ISD,299,0,0,0,32,23,11,29,232,180
38901,CHILDRESS ISD,1148,17,11,1,441,50,19,114,607,592
39902,HENRIETTA ISD,983,0,15,0,77,7,39,116,840,419
39903,PETROLIA ISD,519,0,11,0,59,4,16,47,428,257
39904,BELLEVUE ISD,146,0,1,0,9,1,12,12,122,70
39905,MIDWAY ISD,97,0,0,0,3,0,0,16,93,35
40901,MORTON ISD,433,0,0,0,378,12,3,32,39,403
40902,WHITEFACE CISD,362,0,1,3,161,9,6,44,179,177
41901,BRONTE ISD,274,1,0,0,95,0,0,24,177,130
41902,ROBERT LEE ISD,275,0,0,0,92,1,6,36,174,166
42901,COLEMAN ISD,925,8,5,0,247,28,23,96,611,582
42903,SANTA ANNA ISD,265,0,2,0,69,11,9,20,171,183
42905,PANTHER CREEK CISD,144,0,0,0,29,0,3,9,111,97
43801,IMAGINE INTERNATIONAL ACADEMY OF N,1097,236,14,2,161,104,50,52,527,84
43901,ALLEN ISD,20554,3391,123,61,2589,2343,842,1993,11201,3124
43902,ANNA ISD,2858,22,20,2,888,254,94,268,1574,1214
43903,CELINA ISD,2198,19,24,0,553,68,76,156,1455,637
43904,FARMERSVILLE ISD,1542,9,12,0,490,60,27,154,943,811
43905,FRISCO ISD,49485,8857,296,49,7076,5195,1583,4255,26424,5542
43907,MCKINNEY ISD,24653,912,147,73,6853,3180,690,2366,12794,7617
43908,MELISSA ISD,2110,14,27,2,381,113,56,194,1512,365
43910,PLANO ISD,54398,12076,163,54,12674,6364,1903,5385,21106,15612
43911,PRINCETON ISD,3787,18,26,3,1594,212,106,401,1829,2226
43912,PROSPER ISD,7060,204,49,14,903,529,282,550,5076,585
43914,WYLIE ISD,13978,1132,97,41,3061,1942,419,1299,7296,3815
43917,BLUE RIDGE ISD,719,0,5,0,132,5,15,51,558,396
43918,COMMUNITY ISD,1826,20,12,1,509,91,40,166,1152,774
43919,LOVEJOY ISD,3810,198,22,3,327,72,156,270,3036,114
44902,WELLINGTON ISD,602,0,1,0,296,24,7,63,270,370
45902,COLUMBUS ISD,1613,11,3,0,651,206,19,182,722,983
45903,RICE CISD,1255,2,2,0,683,257,17,131,292,932
45905,WEIMAR ISD,635,1,0,0,266,90,19,48,259,337
46802,TRINITY CHARTER SCHOOL,490,0,0,0,196,84,14,197,194,488
46901,NEW BRAUNFELS ISD,8441,67,42,8,3992,135,126,624,4068,3097
46902,COMAL ISD,20264,263,60,40,7680,466,506,1925,11266,6200
47901,COMANCHE ISD,1259,6,5,0,638,2,10,123,596,823
47902,DE LEON ISD,634,3,1,0,207,3,12,65,405,353
47903,GUSTINE ISD,221,0,1,0,139,0,3,32,76,182
47905,SIDNEY ISD,152,0,1,0,29,0,0,15,120,100
48901,EDEN CISD,247,0,0,0,159,0,0,32,86,167
48903,PAINT ROCK ISD,211,0,0,0,97,0,5,18,108,158
49901,GAINESVILLE ISD,2853,31,17,2,1611,199,131,199,853,2268
49902,MUENSTER ISD,491,3,4,0,15,0,4,55,460,81
49903,VALLEY VIEW ISD,743,8,2,0,167,0,11,81,555,387
49905,CALLISBURG ISD,1145,2,16,0,141,6,17,114,960,512
49906,ERA ISD,472,0,5,0,53,0,13,34,397,168
49907,LINDSAY ISD,506,9,2,0,15,1,6,19,473,47
49908,WALNUT BEND ISD,88,0,0,0,11,0,0,2,76,63
49909,SIVELLS BEND ISD,62,0,1,0,5,0,0,6,54,39
50901,EVANT ISD,258,0,1,0,61,1,4,15,189,170
50902,GATESVILLE ISD,2806,16,16,0,608,61,109,331,1989,1377
50904,OGLESBY ISD,184,0,0,0,52,0,4,13,126,121
50909,JONESBORO ISD,190,0,0,0,22,0,3,22,162,91
50910,COPPERAS COVE ISD,7826,109,54,140,1870,1463,696,696,3498,4030
