DISTRICT,Year,ALL-DAE,ALL-DAE-S,ALL-EXP,ALL-EXP-S,ALL-ISS,ALL-ISS-S,ALL-OSS,ALL-OSS-S,ALL-POP,ASI-DAE,ASI-DAE-S,ASI-EXP,ASI-EXP-S,ASI-ISS,ASI-ISS-S,ASI-OSS,ASI-OSS-S,ASI-POP,BLA-DAE,BLA-DAE-S,BLA-EXP,BLA-EXP-S,BLA-ISS,BLA-ISS-S,BLA-OSS,BLA-OSS-S,BLA-POP,ECO-DAE,ECO-DAE-S,ECO-EXP,ECO-EXP-S,ECO-ISS,ECO-ISS-S,ECO-OSS,ECO-OSS-S,ECO-POP,HIS-DAE,HIS-DAE-S,HIS-EXP,HIS-EXP-S,HIS-ISS,HIS-ISS-S,HIS-OSS,HIS-OSS-S,HIS-POP,IND-DAE,IND-DAE-S,IND-EXP,IND-EXP-S,IND-ISS,IND-ISS-S,IND-OSS,IND-OSS-S,IND-POP,PCI-DAE,PCI-DAE-S,PCI-EXP,PCI-EXP-S,PCI-ISS,PCI-ISS-S,PCI-OSS,PCI-OSS-S,PCI-POP,SPE-DAE,SPE-DAE-S,SPE-EXP,SPE-EXP-S,SPE-ISS,SPE-ISS-S,SPE-OSS,SPE-OSS-S,SPE-POP,TWO-DAE,TWO-DAE-S,TWO-EXP,TWO-EXP-S,TWO-ISS,TWO-ISS-S,TWO-OSS,TWO-OSS-S,TWO-POP,WHI-DAE,WHI-DAE-S,WHI-EXP,WHI-EXP-S,WHI-ISS,WHI-ISS-S,WHI-OSS,WHI-OSS-S,WHI-POP
72801,2006,,-2,,0,,-6,21,2,107,,0,,0,,0,,-6,107,,,,,,,,,0,,0,,0,,0,17,2,64,,0,,0,,0,9,1,34,,0,,0,,0,,-6,107,,,,,,,,,107,,0,,0,,0,5,1,24,,,,,,,,,107,,0,,0,,0,12,-1,72
84802,2006,,-5,,-1,52,-6,21,-5,336,,0,,0,,-6,,-6,336,,0,,0,25,4,8,2,91,,0,,0,45,4,15,1,232,,0,,0,17,-2,10,1,155,,0,,0,1,-6,,-6,336,,,,,,,,,336,,0,,0,24,6,8,6,13,,,,,,,,,336,,0,,0,7,-2,1,-3,77
92801,2006,,-5,,-1,,-6,,-6,282,,0,,0,,0,,0,282,,0,,0,,0,,0,42,,0,,0,,0,,0,94,,0,,0,,0,,0,25,,0,,0,,0,,0,282,,,,,,,,,282,,0,,0,,0,,0,28,,,,,,,,,282,,0,,0,,0,,0,214
101802,2006,,-6,,-1,,-6,20,-6,522,,0,,0,,0,,-6,522,,,,,,,,,0,,0,,0,,0,21,,487,,0,,0,,0,21,,522,,0,,0,,0,,-6,522,,,,,,,,,522,,0,,0,,0,1,1,26,,,,,,,,,522,,,,,,,,,0
101803,2006,,-4,,-1,20,-6,54,6,185,,0,,0,,-6,,-6,185,,0,,0,1,-1,1,-3,22,,,,,,,,,0,,0,,0,1,-2,9,1,30,,0,,0,,-6,,-6,185,,,,,,,,,185,,0,,0,5,1,15,1,43,,,,,,,,,185,,0,,0,14,-1,43,2,130
101804,2006,,-6,,-2,,-6,365,6,947,,0,,0,,0,,-6,947,,0,,0,,0,19,3,28,,0,,0,1,1,220,-6,738,,0,,0,5,0,343,-2,909,,0,,0,,0,,-6,947,,,,,,,,,947,,0,,0,,0,55,2,114,,,,,,,,,947,,0,,0,,0,1,-2,9
101806,2006,,-6,,-2,85,-6,20,-6,1071,,0,,0,,-6,,-6,1071,,,,,,,,,0,,0,,0,82,-5,21,,1071,,0,,0,83,-1,21,,1060,,0,,0,,-6,,-6,1071,,,,,,,,,1071,,0,,0,23,6,1,-1,75,,,,,,,,,1071,,0,,0,1,1,1,1,11
101807,2006,,-3,,-1,2,-6,,-6,140,,0,,0,,-5,,0,140,,0,,0,1,1,,0,57,,0,,0,1,1,,0,41,,0,,0,,-1,,0,41,,0,,0,,-5,,0,140,,,,,,,,,140,,0,,0,,-1,,0,17,,,,,,,,,140,,0,,0,1,1,,0,35
101810,2006,,-6,,-1,,-6,21,-6,719,,0,,0,,0,,-6,719,,0,,0,15,5,11,1,367,,0,,0,13,5,12,1,407,,0,,0,,0,9,-1,345,,0,,0,,0,,-6,719,,,,,,,,,719,,0,,0,,0,1,1,14,,,,,,,,,719,,0,,0,,0,1,1,7
101811,2006,,-6,,-5,,-6,,-6,3396,,0,,0,,0,,0,3396,,0,,0,,0,,0,1460,,0,,0,,0,,0,3396,,0,,0,,0,,0,1358,,0,,0,,0,,0,3396,,,,,,,,,3396,,0,,0,,0,,0,475,,,,,,,,,3396,,0,,0,,0,,0,509
101813,2006,,-6,,-3,,-6,,-6,1787,,0,,0,,0,,0,1787,,0,,0,,0,,0,715,,0,,0,,0,,0,1653,,0,,0,,0,,0,1054,,0,,0,,0,,0,1787,,,,,,,,,1787,,0,,0,,0,,0,89,,,,,,,,,1787,,0,,0,,0,,0,18
