SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETOTHP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT08R,DA0708DR08R,DADC408R,DA0GR08N,DAGC408R,DA311TA09R,DA311TR09R,DA311TW09R,DA311TM09R,DA311TC09R,DA311TS09R,DB311TA09R,DH311TA09R,DW311TA09R,DO311TA09R,DE311TA09R,DACTA09R,DA0CT08R,DA0CC08R,DA0CS08R,DA0CA08R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTOEFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAOTHP
Motley County,173901,173 MOTLEY,17,RE,1,177,1,26,73,1,64.4,3,5,3,33,9,96.5,0,0,14,100,64,92,89,74,78,92,.,33,74,.,53,83,.,16.7,.,17.8,40,19,4,9,11,47,7,22,46636,54490,52575,39030,7,4.4,9.3,15.1,18.6,22.1,10.4,0,3,97,0,73,5,3,0,18,1,406324,1.170000,3006318,16889,38,39,23,1102247,58,2776823,2586385,14530,58,17,3,10,13,1507133,8467,35,35,17,0,8,0,5,0
Stephen F Austin St Univ,174801,174 NACOGDOCHES,07,EX,1,154,12,8,75,5,10.4,0,7,0,0,0,.,.,.,0,.,93,99,96,99,91,.,70,.,96,.,57,.,.,.,.,.,16,9,3,4,1,59,18,14,34040,37454,54155,42344,22,9.8,16.7,32.5,12.6,76.3,.,0,11,89,0,100,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Chireno,174901,174 NACOGDOCHES,07,RE,2,321,11,12,77,0,77.6,7,11,7,26,8,97.2,0,0,24,100,75,93,91,88,77,95,64,75,75,.,72,86,50,10,.,19.6,48,30,2,4,3,63,10,18,73000,52098,42153,37774,6,6.6,10.5,26.3,11.1,24.5,21.3,3,0,97,0,84,7,3,0,7,0,146542,1.112000,3645181,11721,71,21,8,974162,33,3604584,2999289,9644,63,7,4,10,16,1894053,6090,62,11,17,0,5,0,5,0
Cushing,174902,174 NACOGDOCHES,07,AA,2,479,5,8,86,1,40.9,2,10,3,24,3,95.5,0,0,35,97.2,74,95,80,84,75,91,83,76,73,.,66,94,65.5,15.8,974,20.5,85,47,2,2,5,55,13,23,65173,64500,51987,41969,1,5.6,10.2,51.1,9.1,19.1,28.1,2,0,98,0,77,9,4,0,8,2,964135,1.040000,6332610,12665,35,61,5,2831996,41,5160788,4984669,9969,57,9,4,11,19,2830803,5662,62,15,11,0,5,1,6,0
Garrison,174903,174 NACOGDOCHES,07,RE,3,675,21,6,72,2,44.6,2,10,2,31,6,96.7,0,0,38,88.1,80,94,97,89,81,97,67,85,83,88,71,88,40.6,23.1,.,20.5,104,64,3,3,4,61,6,23,69873,64398,44724,39789,14,6.5,10.5,26.5,11.8,15.8,17.4,2,3,95,0,71,6,13,2,8,0,481009,1.070000,7569969,11265,52,44,4,2385556,38,6190793,5784945,8609,62,6,5,9,18,3557057,5293,67,9,11,0,7,0,6,1
Nacogdoches,174904,174 NACOGDOCHES,07,AA,10,6200,30,40,28,2,70.4,19,8,19,26,9,95.7,0.5,12.6,363,79.1,65,86,89,75,71,91,50,60,85,88,56,83,69,29.1,1008,20.3,955,423,1,3,8,44,11,33,105793,60186,48706,42384,40,6.5,14.7,38.2,11.6,30.7,19.3,11,9,79,1,81,7,5,2,5,0,279227,1.370000,59481101,9119,45,41,15,7448238,17,56656492,48627687,7455,56,6,4,11,23,27132497,4160,61,12,16,1,5,0,3,1
Woden,174906,174 NACOGDOCHES,07,RE,4,863,3,12,85,0,49.4,5,12,4,29,4,96.6,1.5,1.8,55,96.4,77,93,94,85,81,94,40,76,78,.,74,90,66,25.8,1040,20.9,82,72,4,4,4,87,0,1,74333,52710,41520,43182,1,10.5,12.1,23.3,15.2,35.8,25.9,0,1,99,0,80,6,7,0,7,0,151865,1.109000,9964733,12108,69,18,13,479781,7,8969153,8630457,10487,57,7,5,10,21,4920342,5979,47,40,7,0,4,1,2,0
Central Heights,174908,174 NACOGDOCHES,07,RE,2,800,7,12,80,2,43.9,4,9,3,27,5,95.9,0,2.2,44,95.7,84,96,94,89,88,96,66,75,86,.,77,93,71.4,24,975,20.8,107,60,3,3,3,56,14,21,65345,59167,48156,40234,14,7.5,13.3,23.3,13.9,30,17.1,0,2,98,0,81,6,3,2,8,0,137510,1.040000,6572430,8717,74,20,6,923148,16,6174533,5714244,7579,62,6,6,11,15,3527708,4679,63,14,10,1,8,1,3,1
Martinsville,174909,174 NACOGDOCHES,07,RE,1,324,7,11,81,1,43.8,3,8,3,29,8,97.2,0,0,29,100,75,92,97,78,86,.,45,64,78,.,70,90,60.9,14.3,.,18.4,51,33,2,4,3,65,2,23,75000,50704,38444,37964,7,6.4,9.8,21.1,12.9,15,6.4,3,3,94,0,84,5,2,1,8,1,238992,1.128000,3175769,9772,71,24,6,889461,31,3016390,2733755,8412,58,13,4,11,14,1597563,4916,68,10,10,0,8,1,3,1
Etoile,174910,174 NACOGDOCHES,07,RE,1,109,0,1,99,0,66.1,0,15,0,11,10,95.7,0,.,0,.,70,95,94,76,86,90,.,.,72,.,74,.,.,.,.,.,25,12,2,2,0,48,18,30,76548,76548,.,37855,0,4.4,9.1,33.3,10.6,8.3,25,0,0,100,0,80,7,10,0,2,2,363987,1.310000,1381445,10793,52,38,10,357820,33,2041195,1128367,8815,54,15,2,13,15,609338,4760,60,15,25,0,0,1,0,0
Douglass,174911,174 NACOGDOCHES,07,EX,1,368,2,10,86,1,29.3,4,6,4,19,7,96.9,0,0,19,100,86,96,95,90,90,99,83,72,88,.,79,100,53.3,37.5,.,23.7,47,32,2,2,2,68,2,23,84214,67162,53745,40974,9,7.8,11.5,21.9,12.8,12.5,3.2,0,3,97,0,83,6,0,3,8,0,611763,1.040000,3852247,10642,46,52,3,1783385,52,2934290,2738782,7566,60,7,6,10,17,1638131,4525,75,9,6,0,6,1,4,0
Blooming Grove,175902,175 NAVARRO,12,RE,3,878,6,19,75,1,42.5,4,10,4,33,5,95.2,0,5.4,65,87.8,74,94,93,80,81,93,70,66,77,50,63,95,57.7,36.7,988,22.5,123,67,2,3,4,54,7,29,72278,68076,52890,43224,12,7.2,13.2,10.8,14,10.7,22.6,3,0,97,0,82,6,1,0,8,2,133137,1.120000,7711533,8694,76,20,4,825791,12,7703262,7172288,8086,56,8,5,14,18,4026161,4539,58,14,11,1,7,4,5,0
Corsicana,175903,175 NAVARRO,12,AA,8,5649,21,42,35,2,67.8,16,10,17,24,7,95.8,0,14.2,281,74.2,72,90,91,81,74,89,61,69,81,80,67,86,51.2,20,951,20.2,818,397,1,2,8,48,15,25,85663,70276,51736,44660,30,6.9,14.2,36.9,11.3,19.7,21.2,6,7,86,1,78,10,1,5,4,1,233337,1.286000,52526947,9261,53,36,11,12008746,30,50590170,45175291,7965,58,6,5,13,18,26021754,4588,61,16,12,1,4,0,3,3
Dawson,175904,175 NAVARRO,12,RE,2,433,11,11,77,1,54.5,4,10,4,24,7,95.7,0,7.4,24,85.2,78,94,98,82,82,93,62,69,81,.,72,73,60,0,.,18.3,68,38,1,3,8,55,14,19,131888,59709,46029,38027,9,6.3,11.5,39.9,11.1,16,17.1,0,5,92,3,87,2,3,1,8,0,220350,1.290000,4422491,10261,64,28,8,649691,16,5050970,3821186,8866,55,6,6,12,22,2085417,4839,67,9,13,0,5,0,5,0
Frost,175905,175 NAVARRO,12,AA,2,344,5,24,69,2,54.1,11,8,11,37,4,95.9,0,4.5,19,86.4,69,89,94,82,71,86,73,65,71,.,66,91,62.5,30,.,21.2,55,34,2,3,4,61,9,21,87000,62701,56781,40911,9,6.3,10.2,14.8,16.3,36.2,8.2,3,0,97,0,81,3,6,0,8,2,187688,1.285000,3445719,10075,71,23,6,-80287,-3,3579987,3448283,10083,59,10,6,11,15,2017398,5899,61,9,20,1,6,1,2,0
Kerens,175907,175 NAVARRO,12,AA,1,678,31,17,52,0,71.5,2,11,2,26,9,96.4,0,2,46,90,67,87,94,80,65,88,58,63,74,.,64,85,73.7,10.7,.,18.8,116,60,3,4,8,52,18,16,57613,61852,42337,40187,20,5.9,11.3,21.7,13.5,15.8,29.7,3,3,93,0,72,7,1,7,9,4,275846,1.123000,5942592,8923,56,35,9,1108582,19,8106319,6141922,9222,59,6,7,10,19,3597377,5401,49,20,18,0,6,2,5,1
Mildred,175910,175 NAVARRO,12,AA,2,690,4,8,85,3,31.9,1,9,1,42,6,95.8,0,3.6,51,90.9,70,94,93,76,74,96,39,57,72,58,56,96,62.2,17.9,980,19.4,120,62,3,4,3,51,8,30,70855,62577,42253,41125,11,5.7,11.2,27.6,11.8,19.3,22.4,0,2,98,0,82,8,2,0,6,2,516258,1.284000,8502819,12672,36,60,4,1471770,24,17550477,6133026,9140,55,7,7,11,19,3400332,5068,59,15,5,2,7,1,7,5
Rice,175911,175 NAVARRO,12,RE,2,795,5,45,51,0,64.2,18,9,18,24,8,96.4,0,0,44,97.6,71,90,93,80,78,88,67,64,76,.,63,88,69.7,17.4,1017,18.9,109,57,1,2,4,52,13,28,84277,60628,47558,40649,13,7.3,13.9,35,11,12.4,15.6,0,2,98,0,84,6,2,3,4,2,97087,1.420000,7005399,9098,77,18,6,850741,14,6267681,5414232,7031,55,6,5,14,20,2982710,3874,62,12,18,1,4,1,4,0
Burkeville,176901,176 NEWTON,05,AA,3,305,30,1,69,0,70.2,0,10,0,38,3,96.1,0,3.4,28,96.6,63,83,88,73,81,96,40,.,72,.,55,69,94.4,11.8,.,17.7,64,27,2,2,3,42,17,34,62001,54593,50391,43084,21,4.8,11.2,14.7,20,14.7,31.4,15,0,85,0,79,8,4,0,9,0,514591,1.250000,4559487,13901,49,43,9,772272,23,4229175,3867641,11792,53,8,4,12,21,2065534,6297,55,12,19,0,10,0,4,0
Newton,176902,176 NEWTON,05,AA,3,1172,41,3,55,1,72,0,13,0,20,5,94.6,1,1.2,88,97.6,60,86,84,71,64,89,43,33,73,70,52,94,63.6,16.7,977,19.1,237,105,1,3,10,44,14,28,86267,61583,45431,38403,21,5,11.2,40.7,13,14.3,27.6,10,0,90,0,66,13,9,0,6,6,203987,1.172000,13065061,10271,51,34,15,2277797,23,13532603,12368466,9724,52,9,5,10,23,6450844,5071,48,21,20,0,5,0,5,1
Deweyville,176903,176 NEWTON,05,RE,3,703,0,2,97,1,45.8,0,7,0,38,7,94.1,0,5.7,53,94.3,77,89,90,87,84,93,.,71,78,40,70,91,33.3,37.5,987,.,121,65,1,5,5,53,12,23,90500,65483,48198,44597,0,5.8,10.9,25.9,14.1,12.4,16.2,0,0,100,0,84,7,0,0,5,4,584687,1.295000,8542069,11685,29,64,7,4970234,68,9828495,7252247,9921,53,9,6,14,18,3832767,5243,58,16,10,0,7,3,5,1
Roscoe,177901,177 NOLAN,14,RE,3,338,2,60,37,2,63.9,8,12,8,36,1,96.4,0,4.3,21,91.3,78,90,93,86,88,.,.,73,88,.,70,100,94.7,16.7,902,19.2,51,25,2,4,1,49,23,20,78025,60361,38633,43180,16,6.6,13.3,13,17.7,14,15.7,0,4,96,0,82,5,6,0,6,0,484580,1.240000,3768740,12002,66,26,8,275556,10,3812139,3135728,9986,54,8,6,14,17,1697491,5406,56,12,18,1,8,0,6,0
Sweetwater,177902,177 NOLAN,14,AA,7,2312,9,42,48,0,60.3,1,13,1,25,10,95.2,0,1.5,121,91.6,78,95,95,85,78,93,64,73,84,.,71,87,58.6,29.2,1025,20.9,411,192,0,1,6,47,16,29,89500,67154,40796,39848,29,5.6,12,29.1,14,12.4,12.3,2,7,91,1,80,8,3,0,5,4,208781,1.230000,24293296,10422,51,32,16,4050726,25,23497447,21485068,9217,55,4,5,13,23,11835575,5077,57,18,15,0,2,1,5,2
Blackwell Cons,177903,177 NOLAN,14,RE,1,157,0,15,85,0,42,2,12,2,26,6,96.1,0,0,9,81.8,76,91,86,79,91,.,.,64,78,.,72,88,50,.,.,.,44,21,5,4,1,47,13,30,65750,59210,22442,42034,5,3.6,7.6,28.3,10.7,1.1,10.3,0,0,100,0,76,7,7,0,10,0,5680097,1.109000,4709529,29997,3,95,3,2280593,22,8952728,2764425,17608,47,22,6,10,15,1294211,8243,65,9,10,0,10,0,6,0
Highland,177905,177 NOLAN,14,EX,1,212,0,17,79,4,25.9,4,11,4,39,7,96.8,0,16.7,12,83.3,88,99,.,92,93,97,.,63,92,.,87,93,81.8,55.6,1070,23,40,21,5,4,2,53,15,21,61495,57731,3500,39133,11,5.3,9.9,14.1,14.1,10.9,4.9,0,0,100,0,80,10,0,0,10,0,1821162,1.480000,3310001,15324,18,75,7,88563,2,2733451,2391671,11073,56,11,6,13,14,1338643,6197,66,13,12,1,4,1,4,0
Garza-Gonzalez Charter,178801,178 NUECES,02,EU,3,270,4,94,2,0,99.3,12,7,12,42,0,91.2,2.2,55.6,5,7.4,36,60,.,48,52,79,.,36,.,.,34,41,0,.,.,.,36,13,6,7,15,37,11,25,63837,35430,35350,34293,94,7.4,20.4,58.5,8.3,22.7,60.7,0,85,15,0,47,8,38,0,8,0,0,0.000000,2096558,7823,79,1,20,98307,6,1935173,1895334,7072,36,15,8,28,13,672410,2509,43,10,40,1,7,0,0,0
Seashore Lrn Ctr Charter,178802,178 NUECES,02,EX,1,201,2,19,77,3,0.5,2,8,2,0,18,96.6,.,.,0,.,93,99,.,94,.,.,.,93,92,.,.,.,.,.,.,.,25,17,2,2,0,69,0,27,50000,50000,.,32117,18,8.2,11.8,76.5,4.5,5.9,18.5,0,24,76,0,88,12,0,0,0,0,0,0.000000,1217252,6763,92,3,5,1137372,87,1373746,1373746,7632,55,23,4,17,1,755682,4198,78,21,1,0,0,0,0,0
Richard Milburn Alter High,178804,178 NUECES,02,EA,1,253,4,70,25,0,56.9,0,7,0,68,0,88,.,37,36,23.1,27,76,.,37,50,81,29,23,40,.,23,51,17.1,16.7,798,.,18,15,0,3,3,83,6,6,.,80350,51264,38907,17,14,16.8,47.1,10,19.5,8.7,7,13,80,0,87,1,0,0,12,0,0,0.000000,1593392,9105,85,0,16,10052,1,1694357,1683467,9620,47,20,11,12,10,795489,4546,51,9,31,0,10,0,0,0
Corpus Christi Montessori,178807,178 NUECES,02,RE,1,153,1,49,50,1,17,0,12,0,0,0,95,.,.,0,.,79,94,84,91,74,.,.,72,85,.,50,.,.,.,.,.,18,8,3,3,0,43,40,11,63000,63000,.,33094,52,8.3,19.1,75,3.8,0,28.6,0,25,75,0,88,12,0,0,0,0,0,0.000000,867566,7544,90,8,1,33584,4,868018,868018,7548,59,13,5,17,7,508418,4421,85,14,1,0,0,0,0,0
Seashore Middle Academy,178808,178 NUECES,02,EX,1,118,1,13,83,3,9.3,0,9,0,0,21,96.8,0,.,0,.,94,98,.,96,.,93,.,86,95,.,.,.,.,.,.,.,13,10,0,14,0,74,0,11,.,39533,.,36852,15,9.1,12.3,62.3,8,58.5,10.5,0,5,95,0,90,10,0,0,0,0,0,0.000000,800707,8799,81,1,17,57318,7,732969,732718,8052,61,8,7,22,1,446620,4908,92,8,0,0,0,0,0,0
Agua Dulce,178901,178 NUECES,02,AA,2,367,1,73,26,0,52,4,8,4,34,4,96.8,0,8.7,19,87,62,92,86,74,70,87,.,57,71,.,51,79,.,10,.,17.2,58,31,2,3,9,52,11,23,75000,60710,34534,41245,53,6.3,12,40.7,11.1,16.1,31.6,1,42,57,0,81,13,0,0,5,1,320013,1.389000,5025125,14651,36,33,31,889898,29,4076813,3685806,10746,60,7,5,10,17,2216033,6461,33,9,45,0,5,1,7,0
Bishop Cons,178902,178 NUECES,02,RE,5,1191,2,76,21,1,57.7,6,7,6,35,5,96.1,0,6.6,73,90.8,78,95,92,85,83,.,55,75,92,62,71,83,76.1,15.7,972,18.1,180,91,3,3,6,50,12,26,68896,61026,42047,42431,69,6.6,13.2,36.9,12.2,16.4,10.2,3,59,38,0,80,9,4,0,7,0,445278,1.299000,11263614,9449,36,55,9,3099325,32,11586173,10299299,8640,53,8,6,12,21,5442864,4566,62,13,14,1,5,0,5,2
Calallen,178903,178 NUECES,02,RE,6,3813,2,50,47,1,40.6,3,9,2,19,9,95.5,0,5.6,263,87.3,84,96,97,90,85,98,65,78,90,96,76,94,70.3,28.8,1004,21.9,547,262,1,3,8,48,11,30,110441,63433,49186,45739,38,7,14.6,29,14.2,24.2,18.3,0,21,78,1,83,10,0,0,5,2,313985,1.277000,31092122,8103,46,46,8,4072426,15,35279456,30544534,7961,56,6,5,12,22,17078817,4451,66,17,4,0,5,1,5,3
Corpus Christi,178904,178 NUECES,02,AA,62,38324,5,77,16,2,64.9,6,12,5,17,4,94.8,0.6,10.5,2060,77.1,68,91,94,77,71,91,65,65,82,88,62,82,62.1,20.1,945,19,4979,2410,2,3,8,48,11,28,73483,62817,58967,47811,67,7.7,15.9,28.2,13.4,40.1,10.4,3,51,45,1,80,11,0,0,4,5,275852,1.176000,329361746,8538,50,38,13,42388988,16,327374106,300786313,7797,57,7,5,13,18,170678435,4424,62,17,13,1,4,0,2,2
Driscoll,178905,178 NUECES,02,EX,2,271,0,86,14,0,79,12,7,12,3,8,96.1,0,.,0,.,84,96,.,91,90,84,.,82,95,.,84,.,.,.,.,.,55,27,4,4,6,50,0,37,55629,55628,46076,39735,58,4.9,9.9,30.8,9.9,18.2,7.7,0,47,53,0,93,7,0,0,0,0,543433,1.239000,6179425,22471,61,28,11,1230318,27,3849393,3320609,12075,56,9,3,16,17,1844487,6707,53,8,35,1,0,0,1,3
London,178906,178 NUECES,02,EX,1,265,2,38,55,5,17.7,3,8,3,8,16,97.5,0,.,0,.,96,99,98,99,92,.,.,93,98,.,95,.,.,.,.,.,47,24,4,0,2,52,12,30,81948,.,48911,46452,40,5.7,11,32.5,12.3,16.7,0,0,17,83,0,85,6,5,0,1,2,1020462,1.144000,3452662,13756,21,75,4,498071,17,8385964,2802474,11165,54,11,3,17,15,1500292,5977,80,9,6,0,0,4,1,0
Port Aransas,178908,178 NUECES,02,EX,3,537,1,10,87,2,31.5,1,8,1,16,10,96.1,0,5.1,39,89.7,83,96,96,90,89,97,.,77,84,.,79,95,71.4,40,1037,22,101,52,3,3,4,51,13,27,44992,67647,53798,46488,11,5.3,10.4,18.5,14.8,44,6.2,0,0,100,0,81,8,3,0,3,4,3518459,1.058000,7176299,13439,32,63,5,3738538,18,6895939,6026821,11286,52,12,5,17,13,3160103,5918,68,19,8,0,2,1,3,0
Robstown,178909,178 NUECES,02,AU,8,3369,1,98,1,0,92.2,6,12,5,27,11,93.8,0.8,31.2,160,57.2,52,81,88,66,49,83,71,52,50,.,52,76,73.5,6.2,868,17.4,553,252,1,3,10,46,10,31,66443,57034,46346,42252,90,6.1,13.4,30,15,26.2,13.5,2,80,17,1,67,12,3,6,6,5,88919,1.254000,38087939,10702,65,12,23,8905400,29,40571311,34237872,9620,54,7,6,13,20,18495993,5197,48,16,25,0,4,1,4,3
Tuloso-Midway,178912,178 NUECES,02,RE,6,3383,2,67,30,1,46,5,12,5,18,3,95.9,0.5,3.2,250,93.2,78,93,92,86,83,96,74,74,86,73,72,90,56.6,32.3,1020,21,375,220,2,4,9,59,6,20,72818,60641,44968,44345,47,9,15.4,30,12.6,27,15.1,1,36,63,0,78,9,2,0,5,7,423000,1.332000,31692538,9563,31,60,8,6596723,28,39368012,27356902,8255,53,6,5,14,21,14551659,4391,56,16,12,2,5,0,5,3
Banquete,178913,178 NUECES,02,RE,3,834,2,77,21,0,62.7,2,9,2,27,4,95.1,0,9.2,47,75.4,71,92,94,76,79,94,.,66,86,.,64,89,82.5,6.1,837,17.2,132,66,2,3,8,50,11,27,109438,63732,47745,44577,61,6.3,12.6,28.8,11.2,5.3,11.3,0,45,55,0,96,3,1,0,0,0,259464,1.449000,10382531,12003,53,35,13,1678649,24,16683439,8487201,9812,56,7,5,13,20,4710160,5445,59,6,24,0,3,0,6,2
Flour Bluff,178914,178 NUECES,02,RE,7,5575,6,32,58,4,43.5,3,10,2,18,11,95,0.1,4.6,352,85.2,77,95,92,84,84,95,74,70,81,84,68,91,67.7,35.5,1042,21.3,785,360,1,3,6,46,11,33,90126,63934,52569,45074,30,7.1,15.5,30.7,12.3,30,15.8,1,18,81,0,69,11,7,1,3,9,385102,1.070000,47573719,8550,40,51,9,14300633,37,44883451,41631503,7482,55,8,5,12,19,23035143,4140,58,21,9,0,3,6,2,1
West Oso,178915,178 NUECES,02,AA,5,2085,14,84,2,0,86.1,5,14,5,24,3,94.6,0.3,11.7,106,74.5,59,87,90,68,67,89,47,62,60,.,59,75,50,4.9,788,16.6,317,144,1,3,9,45,13,28,86313,63042,46403,44795,83,6.6,14.5,40.9,11.2,26.4,19.1,9,60,31,0,58,13,9,8,4,9,235282,1.340000,21550700,10538,53,32,15,4733391,28,27551567,18620839,9106,57,7,4,14,18,10670858,5218,46,19,25,1,3,2,2,1
Perryton,179901,179 OCHILTREE,16,AA,6,2230,0,62,37,1,53.1,23,6,23,27,6,96.3,0,1.4,138,93.6,64,88,85,71,75,87,.,57,74,67,54,90,52.8,25.4,.,21.1,317,168,1,3,4,53,14,24,85880,56802,46080,41401,18,7,13.3,30.9,14.1,12.1,15,0,6,94,0,82,6,1,3,5,4,377595,1.105000,19387912,8935,38,49,13,2613079,17,19206706,17272901,7960,57,7,5,11,20,9869403,4548,55,17,13,1,4,1,6,3
Boys Ranch,180901,180 OLDHAM,16,AA,4,319,10,17,71,2,76.5,2,17,2,53,5,98.2,0,4,45,94,55,82,89,62,61,87,43,45,60,.,49,68,.,8.5,.,17.3,91,58,5,6,9,63,8,9,73066,68188,55442,46225,10,3.5,5.5,51.5,11.9,11.3,22.6,2,8,89,2,74,7,9,0,10,0,0,0.000000,6461013,21754,40,49,11,719363,12,6448308,6428542,21645,66,9,9,1,15,4267953,14370,55,16,10,0,7,0,5,7
Vega,180902,180 OLDHAM,16,RE,2,281,0,14,83,2,39.5,1,12,1,39,5,97.4,4,0,29,100,88,99,.,92,89,94,.,83,89,.,81,96,.,33.3,.,21.8,54,31,4,4,10,57,6,20,66830,56296,45984,44136,13,5.2,9.2,35.9,11.6,5.1,29.6,0,0,100,0,83,7,0,0,10,0,519773,1.040000,3655993,13491,53,40,7,1205637,38,3604834,3161533,11666,57,8,6,9,21,1788482,6600,58,14,10,0,11,1,6,0
Adrian,180903,180 OLDHAM,16,EX,1,132,2,27,67,3,64.4,2,11,2,54,7,95.7,0,0,7,100,89,.,.,92,90,.,.,78,96,.,87,91,42.9,.,.,.,28,18,3,0,0,66,10,22,78500,.,45930,40996,4,4.8,7.3,16.5,15.6,12.3,11.7,0,0,100,0,83,4,1,1,11,0,272601,1.040000,1812056,16778,66,27,7,1136690,69,1766922,1757819,16276,55,12,4,13,16,973166,9011,70,8,11,0,9,0,2,0
Wildorado,180904,180 OLDHAM,16,EX,1,93,5,14,79,2,51.6,3,5,2,0,0,96.6,.,.,0,.,83,97,88,85,.,.,.,71,86,.,77,.,.,.,.,.,15,9,6,0,0,58,13,22,63000,.,.,38121,6,6,10.3,22.2,12.4,0,1.3,0,0,100,0,89,0,11,0,0,0,1555240,1.040000,916159,10180,41,47,12,142939,16,1061169,866460,9627,53,16,5,9,16,462932,5144,63,8,28,0,0,0,1,0
Bridge City,181901,181 ORANGE,05,RE,5,2351,1,10,86,4,74.3,3,10,3,22,12,96,0.3,6.7,136,89.3,81,96,95,85,87,97,60,70,82,88,82,95,61.1,20.8,966,20.8,354,170,1,3,7,48,13,29,87261,59482,45886,41111,3,6.6,13.8,24.6,12.7,8.1,14.9,0,1,98,1,76,9,5,1,4,5,335930,1.210000,21893904,8842,48,45,7,4234799,24,22043763,19559655,7900,51,6,5,16,22,9944062,4016,58,18,11,1,3,3,6,0
Orangefield,181905,181 ORANGE,05,RE,3,1729,1,6,91,3,34.1,1,11,1,29,6,94.9,0,8.2,99,88.2,79,95,94,88,82,92,50,73,80,78,69,95,58,25.5,997,22.9,235,114,2,3,7,48,11,29,72284,59499,48687,42361,5,7.3,15.2,26.3,12.9,10.6,11.2,0,1,99,0,81,8,1,1,5,3,203364,1.170000,13342410,7989,60,34,7,1042675,9,16249375,12975640,7770,50,5,5,16,24,6497407,3891,60,14,8,1,6,5,5,1
West Orange-Cove Cons,181906,181 ORANGE,05,AU,5,2591,65,7,27,1,80.7,2,13,2,17,7,93.3,0.7,25.6,127,70.3,51,84,88,63,59,87,47,55,63,71,48,75,93.3,4.1,806,15.8,425,193,1,3,7,45,0,44,84263,63910,50330,42186,37,6.1,13.5,36.7,14.5,17.2,20.9,20,1,79,0,91,5,1,0,0,3,620242,1.249000,26705480,9939,19,60,21,4527301,20,29897978,25987227,9671,55,7,5,13,21,14170127,5274,44,15,28,0,5,1,3,5
Vidor,181907,181 ORANGE,05,RE,7,4825,0,4,95,1,56.3,1,17,1,24,5,95.4,0.1,3,331,92.5,78,94,93,87,79,93,.,73,78,91,73,86,53.5,13,927,20.3,749,357,0,3,6,48,17,27,93828,63903,54790,44262,3,6.4,13.5,27.5,14,12,11.3,0,2,97,1,62,14,11,1,5,8,165651,1.208000,45575680,9389,68,22,10,6289338,17,45012058,41579300,8566,58,4,5,13,20,24237220,4993,53,25,8,0,5,5,2,3
Little Cypress-Mauriceville,181908,181 ORANGE,05,AA,6,3622,7,6,86,1,25.8,1,13,1,24,5,94.5,0,4.3,261,92.1,79,93,90,85,86,93,51,68,82,94,66,87,57.6,20.8,956,20.2,546,265,1,3,6,48,13,29,84070,61788,51486,41407,3,6.6,13.7,41.3,10.5,13.8,21.4,0,0,99,0,66,9,8,2,5,9,228833,1.148000,30884259,8334,59,34,8,3235151,12,30970563,29046856,7838,54,6,5,14,19,15802258,4264,57,20,9,1,6,4,3,1
Gordon,182901,182 PALO PINTO,11,EX,1,188,0,15,85,1,42.6,1,10,2,31,4,95.6,0,0,17,100,77,98,92,80,89,96,.,73,79,.,72,94,80,25,935,19.5,32,19,3,3,2,60,9,22,72000,57500,66774,39755,6,5.9,9.8,41.7,12.3,11.5,16.5,0,5,95,0,87,5,0,0,7,0,635602,1.106000,2489409,12701,37,59,4,843018,41,2145607,1915553,9773,52,10,5,19,14,1000498,5105,65,9,11,0,9,0,6,0
Graford,182902,182 PALO PINTO,11,RE,2,318,0,13,85,2,52.5,1,12,1,31,7,94.9,0,4.3,21,91.3,69,94,93,76,80,98,.,78,69,.,65,95,44.4,12.5,.,19.5,58,34,3,5,1,58,7,26,60455,57518,51047,40989,3,5.5,9.5,26.8,15.6,10.4,13.1,0,0,100,0,88,6,0,0,7,0,1626248,1.078000,4283177,13139,31,64,5,1818451,28,3868841,3404187,10442,56,8,6,12,18,1903610,5839,62,11,13,0,9,0,5,0
