DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,ASIAN,AMERICAN INDIAN OR ALASKA NAT,NATIVE HAWAIIAN/OTHER PACIFIC,HISPANIC/LATINO,BLACK OR AFRICAN AMERICAN,TWO OR MORE RACES,Special Education,WHITE,Economic Disadvantage
MARBLE FALLS ISD,13,4054,2.6,43.8,50.7,0.3,0.6,0.4,1.5,59.7,10.4,24,12,16,1775,105,60,421,2055,2420
LOCKHART ISD,13,5351,4.4,69.8,23.8,0.4,0.3,0.1,1.3,70.2,12.4,16,21,5,3734,235,69,663,1273,3756
LULING ISD,13,1375,6.1,65.2,27.3,0.1,0.0,0.1,1.2,71.7,9.8,0,1,1,896,83,16,134,375,985
PRAIRIE LEA ISD,13,163,9.8,44.8,44.2,0.6,0.0,0.0,0.6,80.4,9.8,0,0,0,73,15,0,15,72,131
CALHOUN COUNTY ISD,3,4216,2.2,62.4,28.9,0.3,5.3,0.0,0.9,60.8,8.1,223,12,0,2630,92,37,341,1218,2563
CROSS PLAINS ISD,14,350,0.0,9.7,88.9,0.3,0.6,0.0,0.6,56.9,9.4,2,1,0,33,0,2,32,311,199
CLYDE CISD,14,1453,1.4,14.3,81.5,0.2,0.4,0.1,2.1,47.0,9.9,5,2,1,207,20,30,143,1184,682
BAIRD ISD,14,322,0.9,20.5,77.0,0.0,0.3,0.0,1.2,67.4,11.2,0,0,0,66,2,3,36,247,217
EULA ISD,14,405,1.2,11.9,82.5,0.2,0.7,0.0,3.5,51.6,9.6,2,0,0,48,4,14,38,334,208
BROWNSVILLE ISD,1,48269,0.1,99.0,0.6,0.0,0.2,0.0,0.0,94.7,10.2,96,0,0,47786,48,0,4923,289,45710
HARLINGEN CISD,1,18625,0.5,91.5,7.2,0.1,0.5,0.0,0.2,73.7,8.6,93,18,0,17041,93,37,1601,1341,13726
LA FERIA ISD,1,3595,0.1,96.6,2.9,0.1,0.1,0.0,0.1,82.9,7.7,3,3,0,3472,3,3,276,104,2980
LOS FRESNOS CISD,1,10631,0.2,96.5,2.9,0.1,0.2,0.0,0.1,78.2,7.5,21,10,0,10258,21,10,797,308,8313
POINT ISABEL ISD,1,2493,0.4,91.5,6.9,0.1,0.5,0.0,0.5,75.9,8.7,12,2,0,2281,9,12,216,172,1892
RIO HONDO ISD,1,2181,0.1,96.1,3.5,0.0,0.0,0.0,0.1,83.5,8.1,0,0,0,2095,2,2,176,76,1821
SAN BENITO CISD,1,11018,0.0,99.0,0.8,0.0,0.0,0.0,0.1,76.5,7.5,0,0,0,10907,0,11,826,88,8428
SANTA MARIA ISD,1,716,0.0,98.5,1.4,0.1,0.0,0.0,0.0,95.1,6.6,0,0,0,705,0,0,47,10,680
SANTA ROSA ISD,1,1144,0.3,98.6,1.0,0.0,0.0,0.0,0.0,89.6,7.3,0,0,0,1127,3,0,83,11,1025
SOUTH TEXAS ISD,1,3375,1.1,82.0,5.5,0.0,10.5,0.0,0.9,57.3,1.5,354,0,0,2767,37,30,50,185,1933
PITTSBURG ISD,8,2433,17.7,37.7,40.4,0.6,1.1,0.0,2.4,80.3,10.3,26,14,0,917,430,58,250,982,1953
GROOM ISD,16,136,0.7,11.0,86.8,0.0,0.0,0.0,1.5,33.8,9.6,0,0,0,14,0,2,13,118,45
PANHANDLE ISD,16,643,1.6,8.9,87.7,0.9,0.2,0.2,0.6,19.9,8.6,1,5,1,57,10,3,55,563,127
WHITE DEER ISD,16,369,0.0,12.7,85.1,1.1,0.0,0.0,1.1,43.6,8.1,0,4,0,46,0,4,29,314,160
ATLANTA ISD,8,1782,34.0,7.1,54.0,0.4,0.6,0.1,3.8,66.1,10.0,10,7,1,126,605,67,178,962,1177
AVINGER ISD,8,167,19.2,7.2,64.7,0.0,0.0,0.0,9.0,85.0,8.4,0,0,0,12,32,15,14,108,141
