DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,ASIAN,AMERICAN INDIAN OR ALASKA NAT,NATIVE HAWAIIAN/OTHER PACIFIC,HISPANIC/LATINO,BLACK OR AFRICAN AMERICAN,TWO OR MORE RACES,Special Education,WHITE,Economic Disadvantage
SPRING BRANCH ISD,4,35041,4.5,58.6,28.1,1.0,6.2,0.1,1.5,50.6,7.1,2172,350,35,20534,1576,525,2487,9846,17730
TOMBALL ISD,4,13190,4.6,29.3,56.5,0.3,5.9,0.1,3.3,22.2,7.4,778,39,13,3864,606,435,976,7452,2928
SHELDON ISD,4,7947,20.3,69.7,8.2,0.2,0.5,0.1,1.0,75.9,6.8,39,15,7,5539,1613,79,540,651,6031
HUFFMAN ISD,4,3381,2.0,19.0,77.0,0.1,0.7,0.1,1.1,33.6,7.5,23,3,3,642,67,37,253,2603,1136
KARNACK ISD,7,174,56.3,14.4,19.0,0.6,0.0,0.0,9.8,100.0,9.8,0,1,0,25,97,17,17,33,174
MARSHALL ISD,7,5542,38.6,32.6,25.6,0.2,0.5,0.1,2.4,75.4,6.4,27,11,5,1806,2139,133,354,1418,4178
WASKOM ISD,7,912,16.1,24.2,53.4,0.0,0.1,0.0,6.1,59.0,9.1,0,0,0,220,146,55,82,487,538
HALLSVILLE ISD,7,4820,7.2,12.4,76.2,0.5,0.7,0.1,3.0,39.1,8.2,33,24,4,597,347,144,395,3672,1884
HARLETON ISD,7,746,2.8,5.4,88.3,0.1,0.3,0.0,3.1,37.4,10.3,2,0,0,40,20,23,76,658,279
ELYSIAN FIELDS ISD,7,992,13.5,4.1,78.5,0.3,0.5,0.0,3.0,46.2,10.4,4,2,0,40,133,29,103,778,458
CHANNING ISD,16,149,0.0,16.1,83.2,0.0,0.0,0.0,0.7,51.0,7.4,0,0,0,23,0,1,11,123,75
HARTLEY ISD,16,223,0.4,63.7,35.0,0.4,0.0,0.0,0.4,75.8,4.5,0,0,0,142,0,0,10,78,169
HASKELL CISD,14,615,3.9,37.4,54.0,1.1,0.3,0.2,3.1,62.3,9.1,1,6,1,230,23,19,55,332,383
RULE ISD,14,122,0.8,42.6,52.5,0.0,0.0,0.0,4.1,77.0,14.8,0,0,0,51,0,5,18,64,93
PAINT CREEK ISD,14,133,0.0,42.1,57.1,0.0,0.8,0.0,0.0,63.2,9.8,1,0,0,55,0,0,13,75,84
KATHERINE ANNE PORTER SCHOOL,13,146,2.1,19.2,74.0,0.0,2.1,0.0,2.7,50.7,9.6,3,0,0,28,3,3,14,108,74
TEXAS PREPARATORY SCHOOL,13,280,38.6,40.4,15.7,0.7,1.4,0.4,2.9,69.6,8.6,3,1,1,113,108,8,24,43,194
SAN MARCOS CISD,13,7736,4.8,72.8,20.4,0.1,0.8,0.1,1.0,71.4,10.2,61,7,7,5631,371,77,789,1578,5523
DRIPPING SPRINGS ISD,13,5410,0.8,19.8,73.3,0.4,1.4,0.1,4.2,12.5,9.5,75,21,5,1071,43,227,513,3965,676
WIMBERLEY ISD,13,2117,0.2,21.4,75.1,0.5,0.5,0.0,2.3,26.4,7.1,10,10,0,453,4,48,150,1589,558
HAYS CISD,13,17904,2.9,63.1,31.0,0.2,0.8,0.1,2.0,49.8,9.5,143,35,17,11297,519,358,1700,5550,8916
CANADIAN ISD,16,1048,0.0,47.2,51.6,0.3,0.4,0.0,0.5,40.0,6.4,4,3,0,494,0,5,67,540,419
ATHENS ISD,7,3294,12.8,45.9,36.9,0.2,1.0,0.1,3.1,74.6,8.3,32,6,3,1511,421,102,273,1215,2457
BROWNSBORO ISD,7,2658,8.0,14.6,74.6,0.5,0.2,0.2,2.1,52.0,9.5,5,13,5,388,212,55,252,1982,1382
CROSS ROADS ISD,7,585,0.7,6.3,92.0,0.2,0.0,0.0,0.9,44.3,10.8,0,1,0,36,4,5,63,538,259
EUSTACE ISD,7,1511,1.7,10.6,84.1,0.7,0.1,0.1,2.8,68.3,12.3,1,10,1,160,25,42,185,1270,1032
MALAKOFF ISD,7,1214,11.9,15.7,68.5,0.2,0.3,0.0,3.3,69.1,11.2,3,2,0,190,144,40,135,831,838
TRINIDAD ISD,7,186,14.0,8.6,71.5,0.0,0.0,0.0,5.9,55.9,17.2,0,0,0,15,26,10,31,132,103
MURCHISON ISD,7,212,0.0,13.7,85.4,0.0,0.5,0.0,0.5,59.4,17.0,1,0,0,29,0,1,36,181,125
LAPOYNOR ISD,7,512,8.4,8.6,80.9,0.4,0.2,0.0,1.6,50.0,9.0,1,2,0,44,43,8,46,414,256
IGNITE PUBLIC SCHOOLS AND COMMUNIT,1,1199,0.1,98.7,1.1,0.0,0.1,0.0,0.0,80.6,5.8,1,0,0,1183,1,0,69,13,966
SOUTH TEXAS EDUCATIONAL TECHNOLOGI,1,1125,0.0,92.1,5.0,1.2,1.6,0.0,0.2,68.7,5.2,18,13,0,1036,0,2,58,56,772
MIDVALLEY ACADEMY CHARTER DISTRICT,1,301,0.0,98.0,2.0,0.0,0.0,0.0,0.0,92.7,5.6,0,0,0,294,0,0,16,6,279
IDEA PUBLIC SCHOOLS,1,19227,1.8,94.7,2.4,0.1,0.9,0.0,0.1,86.1,4.7,173,19,0,18207,346,19,903,461,16554
VANGUARD ACADEMY,1,2333,0.5,96.7,2.4,0.0,0.2,0.0,0.1,81.3,3.3,4,0,0,2256,11,2,76,55,1896
EXCELLENCE IN LEADERSHIP ACADEMY,1,185,1.1,97.8,0.0,0.0,0.0,0.0,1.1,85.9,5.9,0,0,0,180,2,2,10,0,158
DONNA ISD,1,15325,0.1,99.6,0.3,0.0,0.0,0.0,0.0,81.6,6.4,0,0,0,15263,15,0,980,45,12505
EDCOUCH-ELSA ISD,1,5041,0.1,99.4,0.4,0.1,0.0,0.0,0.0,99.6,7.3,0,5,0,5010,5,0,367,20,5020
EDINBURG CISD,1,34175,0.2,97.7,1.4,0.0,0.6,0.0,0.2,85.1,6.0,205,0,0,33388,68,68,2050,478,29082
HIDALGO ISD,1,3259,0.2,99.6,0.2,0.0,0.1,0.0,0.0,89.7,6.0,3,0,0,3245,6,0,195,6,2923
MCALLEN ISD,1,24590,0.3,93.4,4.3,0.1,1.5,0.0,0.3,72.3,8.0,368,24,0,22967,73,73,1967,1057,17778
MERCEDES ISD,1,5746,0.1,98.7,0.8,0.2,0.1,0.0,0.2,71.3,6.2,5,11,0,5671,5,11,356,45,4096
MISSION CISD,1,15353,0.1,98.9,0.9,0.0,0.1,0.0,0.0,84.0,7.2,15,0,0,15184,15,0,1105,138,12896
PHARR-SAN JUAN-ALAMO ISD,1,32272,0.1,99.0,0.6,0.0,0.2,0.0,0.0,88.4,6.0,64,0,0,31949,32,0,1936,193,28528
PROGRESO ISD,1,2031,0.0,99.4,0.4,0.0,0.1,0.0,0.0,99.8,5.2,2,0,0,2018,0,0,105,8,2026
SHARYLAND ISD,1,10247,0.4,92.6,4.6,0.0,2.1,0.1,0.3,59.9,6.0,215,0,10,9488,40,30,614,471,6137
LA JOYA ISD,1,29600,0.0,99.6,0.3,0.0,0.0,0.0,0.0,94.6,6.5,0,0,0,29481,0,0,1924,88,28001
WESLACO ISD,1,17329,0.0,98.3,1.2,0.2,0.2,0.0,0.0,74.0,7.9,34,34,0,17034,0,0,1368,207,12823
LA VILLA ISD,1,602,0.0,99.3,0.7,0.0,0.0,0.0,0.0,90.4,6.5,0,0,0,597,0,0,39,4,544
MONTE ALTO ISD,1,1042,0.1,99.0,0.8,0.0,0.0,0.0,0.1,90.3,6.0,0,0,0,1031,1,1,62,8,940
VALLEY VIEW ISD,1,4479,0.0,99.8,0.2,0.0,0.0,0.0,0.0,92.0,5.2,0,0,0,4470,0,0,232,8,4120
ABBOTT ISD,12,264,0.0,9.5,88.3,0.0,0.4,0.0,1.9,22.3,8.3,1,0,0,25,0,5,21,233,58
BYNUM ISD,12,208,3.4,28.4,65.4,0.0,0.0,0.0,2.9,63.5,11.1,0,0,0,59,7,6,23,136,132
COVINGTON ISD,12,296,0.7,10.8,84.1,1.0,0.0,0.0,3.4,47.6,16.2,0,2,0,31,2,10,47,248,140
HILLSBORO ISD,12,2007,12.8,58.4,25.6,0.3,0.4,0.0,2.4,75.8,10.8,8,6,0,1172,256,48,216,513,1521
HUBBARD ISD,12,378,17.5,12.7,68.5,0.0,0.0,0.0,1.3,66.1,9.0,0,0,0,48,66,4,34,258,249
ITASCA ISD,12,664,7.8,40.1,47.0,0.6,0.9,0.0,3.6,66.3,8.3,5,3,0,266,51,23,55,312,440
MALONE ISD,12,96,9.4,44.8,43.8,0.0,0.0,0.0,2.1,89.6,13.5,0,0,0,43,9,2,12,42,86
MOUNT CALM ISD,12,160,6.3,22.5,66.3,0.0,0.0,0.0,5.0,71.3,15.0,0,0,0,36,10,8,24,106,114
WHITNEY ISD,12,1530,4.2,18.8,73.7,0.4,0.4,0.2,2.3,59.9,11.4,6,6,3,287,64,35,174,1127,916
AQUILLA ISD,12,275,1.1,14.5,80.7,1.5,0.0,0.0,2.2,52.4,8.0,0,4,0,39,3,6,22,221,144
BLUM ISD,12,375,1.6,13.9,82.4,0.3,0.0,0.0,1.9,59.2,14.4,0,1,0,52,6,7,54,309,222
PENELOPE ISD,12,191,2.1,27.2,69.1,0.5,0.0,0.0,1.0,78.0,11.5,0,0,0,51,4,1,21,131,148
ANTON ISD,17,242,5.4,69.0,23.1,0.0,0.0,0.0,2.5,74.0,7.9,0,0,0,166,13,6,19,55,179
LEVELLAND ISD,17,3144,4.5,67.5,26.6,0.2,0.2,0.1,1.0,61.5,13.8,6,6,3,2122,141,31,433,836,1933
ROPES ISD,17,316,0.6,39.2,58.2,0.6,0.0,0.0,1.3,47.8,7.3,0,1,0,123,1,4,23,183,151
SMYER ISD,17,403,2.7,49.1,45.4,1.0,0.0,0.0,1.7,58.8,11.4,0,4,0,197,10,6,45,182,236
SUNDOWN ISD,17,642,1.2,57.3,39.9,0.8,0.0,0.0,0.8,34.7,6.2,0,5,0,367,7,5,39,256,222
WHITHARRAL ISD,17,182,1.6,33.5,62.6,1.1,0.0,0.0,1.1,28.0,4.4,0,2,0,60,2,2,8,113,50
GRANBURY ISD,11,6843,0.7,22.5,73.7,0.7,0.6,0.2,1.6,48.4,12.0,41,47,13,1539,47,109,821,5043,3312
LIPAN ISD,11,335,0.6,11.9,86.0,0.0,0.0,0.0,1.5,49.9,8.1,0,0,0,39,2,5,27,288,167
TOLAR ISD,11,741,1.1,6.3,91.1,0.4,0.3,0.0,0.8,25.9,7.8,2,2,0,46,8,5,57,675,191
SULPHUR SPRINGS ISD,8,4378,11.7,26.0,57.6,0.4,1.0,0.1,3.2,59.9,8.5,43,17,4,1138,512,140,372,2521,2622
CUMBY ISD,8,375,1.1,9.1,87.2,1.3,0.3,0.0,1.1,55.5,13.6,1,4,0,34,4,4,51,327,208
NORTH HOPKINS ISD,8,486,0.8,22.0,71.4,1.2,0.0,0.0,4.5,61.5,11.7,0,5,0,106,3,21,56,347,298
MILLER GROVE ISD,8,230,0.0,22.6,76.1,0.0,0.0,0.0,1.3,53.0,13.0,0,0,0,51,0,2,29,175,121
COMO-PICKTON CISD,8,761,2.5,43.1,51.6,0.5,0.4,0.0,1.8,71.9,8.4,3,3,0,327,19,13,63,392,547
SALTILLO ISD,8,268,3.0,25.0,69.0,0.7,0.0,0.0,2.2,69.4,12.7,0,1,0,67,8,5,34,184,185
SULPHUR BLUFF ISD,8,212,1.4,10.8,83.5,0.0,0.5,0.5,3.3,43.4,15.1,1,0,1,22,2,6,32,177,92
CROCKETT ISD,6,1303,50.5,30.2,16.3,0.3,0.7,0.0,2.1,85.4,9.7,9,3,0,393,658,27,126,212,1112
GRAPELAND ISD,6,487,24.8,8.2,63.4,0.4,0.4,0.4,2.3,67.1,11.5,1,1,1,39,120,11,56,308,326
LOVELADY ISD,6,513,8.2,8.6,78.8,0.0,0.6,0.0,3.9,41.5,10.5,3,0,0,44,42,20,53,404,212
LATEXO ISD,6,527,3.8,8.0,86.9,0.2,0.0,0.0,1.1,45.5,8.9,0,1,0,42,20,5,46,457,239
KENNARD ISD,6,292,13.7,5.8,74.7,1.0,0.0,0.0,4.8,61.3,7.5,0,2,0,16,40,14,21,218,178
BIG SPRING ISD,18,4232,5.9,63.4,27.1,0.4,0.6,0.1,2.6,61.0,9.1,25,16,4,2683,249,110,385,1146,2581
COAHOMA ISD,18,894,0.2,32.8,63.9,1.1,0.4,0.0,1.6,37.0,6.8,3,9,0,293,1,14,60,571,330
FORSAN ISD,18,738,1.8,25.3,68.7,0.3,1.9,0.0,2.0,22.8,4.2,14,2,0,186,13,14,30,507,168
FT HANCOCK ISD,19,440,0.0,97.7,2.0,0.0,0.0,0.0,0.2,90.2,5.7,0,0,0,429,0,0,25,8,396
SIERRA BLANCA ISD,19,140,1.4,65.0,30.7,0.7,0.7,0.0,1.4,60.0,9.3,0,0,0,91,1,1,13,42,84
DELL CITY ISD,19,73,1.4,61.6,32.9,2.7,0.0,0.0,1.4,79.5,9.6,0,1,0,44,1,1,7,24,58
PHOENIX CHARTER SCHOOL,10,717,16.9,11.3,53.8,11.7,1.1,0.0,5.2,75.7,9.1,7,83,0,81,121,37,65,385,542
CADDO MILLS ISD,10,1591,1.6,15.0,78.9,1.3,0.3,0.0,3.0,35.5,8.5,4,20,0,238,25,47,135,1255,564
CELESTE ISD,10,451,1.8,10.6,84.0,1.1,0.0,0.0,2.4,50.1,11.8,0,4,0,47,8,10,53,378,225
COMMERCE ISD,10,1553,20.7,21.1,50.5,0.7,2.2,0.6,4.3,67.9,10.6,34,10,9,327,321,66,164,784,1054
GREENVILLE ISD,10,4727,17.1,39.1,38.8,0.8,1.0,0.2,3.1,70.0,9.9,47,37,9,1848,808,146,467,1834,3308
LONE OAK ISD,10,997,2.5,9.7,84.8,0.7,0.4,0.0,1.9,42.1,12.8,3,6,0,96,24,18,127,845,419
QUINLAN ISD,10,2541,0.8,21.9,74.7,0.4,0.3,0.0,1.8,66.5,11.8,7,10,0,556,20,45,299,1898,1689
WOLFE CITY ISD,10,626,5.3,13.4,79.1,1.1,0.8,0.0,0.3,54.0,11.5,5,6,0,83,33,1,71,495,338
CAMPBELL ISD,10,377,2.4,15.6,80.1,0.3,0.3,0.0,1.3,58.1,8.2,1,1,0,58,9,4,30,301,219
BLAND ISD,10,584,1.0,34.2,60.8,0.7,0.0,0.2,3.1,52.9,8.2,0,4,1,199,5,18,47,355,308
BOLES ISD,10,504,1.6,14.1,79.4,0.2,1.0,0.2,3.6,40.7,10.5,5,1,1,71,8,18,52,400,205
BORGER ISD,16,2738,3.3,43.8,47.3,1.2,0.6,0.0,3.7,51.4,9.8,16,32,0,1199,90,101,268,1295,1407
SANFORD-FRITCH ISD,16,829,0.7,9.3,85.5,1.3,0.1,0.0,3.0,42.7,13.3,0,10,0,77,5,24,110,708,353
PLEMONS-STINNETT-PHILLIPS CISD,16,664,0.9,20.5,73.6,2.0,0.2,0.0,2.9,38.4,10.1,1,13,0,136,5,19,67,488,254
SPRING CREEK ISD,16,106,0.9,29.2,65.1,3.8,0.0,0.0,0.9,45.3,4.7,0,4,0,30,0,0,4,69,48
IRION COUNTY ISD,15,334,2.1,30.2,66.5,0.3,0.0,0.0,0.9,36.5,6.3,0,1,0,100,7,3,21,222,121
BRYSON ISD,9,271,0.0,11.8,86.0,0.7,0.0,0.0,1.5,44.3,11.4,0,1,0,31,0,4,30,233,120
JACKSBORO ISD,9,985,1.2,31.1,64.3,0.8,0.3,0.0,2.3,49.1,8.4,2,7,0,306,11,22,82,633,483
PERRIN-WHITT CISD,9,352,0.0,17.9,81.0,0.6,0.0,0.0,0.6,45.7,10.8,0,2,0,63,0,2,38,285,160
EDNA ISD,3,1567,16.2,44.2,38.2,0.1,0.5,0.3,0.5,62.1,9.6,7,1,4,692,253,7,150,598,973
GANADO ISD,3,776,1.8,54.9,41.8,0.1,0.4,0.0,1.0,53.0,8.8,3,0,0,426,13,7,68,324,411
INDUSTRIAL ISD,3,1218,1.1,27.3,71.0,0.2,0.1,0.0,0.4,28.6,7.8,1,2,0,332,13,4,95,864,348
BROOKELAND ISD,5,419,3.3,4.3,90.0,0.0,0.2,0.0,2.1,58.0,10.0,0,0,0,18,13,8,41,377,243
BUNA ISD,5,1452,4.2,3.4,90.2,0.9,0.0,0.0,1.4,40.4,8.3,0,13,0,49,60,20,120,1309,586
JASPER ISD,5,2521,40.5,17.1,38.5,0.3,0.4,0.6,2.6,74.1,10.6,10,7,15,431,1021,65,267,970,1868
KIRBYVILLE CISD,5,1479,10.6,6.5,78.2,0.4,0.3,0.0,3.9,60.0,8.0,4,5,0,96,156,57,118,1156,887
EVADALE ISD,5,481,0.4,2.7,93.1,0.0,0.0,0.0,3.7,27.2,7.9,0,0,0,12,1,17,37,447,130
FT DAVIS ISD,18,217,0.0,58.5,40.6,0.0,0.0,0.0,0.9,49.3,11.1,0,0,0,126,0,1,24,88,106
VALENTINE ISD,18,39,0.0,64.1,30.8,0.0,2.6,0.0,2.6,69.2,0.0,1,0,0,24,0,1,0,12,26
TEKOA ACADEMY OF ACCELERATED STUDI,5,426,82.9,8.7,7.0,0.2,0.0,0.0,1.2,93.4,3.5,0,0,0,37,353,5,14,29,397
EHRHART SCHOOL,5,286,40.9,49.0,7.7,0.0,0.0,0.0,2.4,84.6,3.8,0,0,0,140,116,6,10,22,241
BOB HOPE SCHOOL,5,447,2.7,94.2,2.2,0.0,0.2,0.0,0.7,89.3,4.9,0,0,0,421,12,3,21,9,399
NEDERLAND ISD,5,5175,8.4,21.2,62.1,0.6,6.1,0.1,1.5,41.9,10.0,315,31,5,1097,434,77,517,3213,2168
PORT ARTHUR ISD,5,8890,44.8,45.7,2.5,2.5,4.0,0.1,0.4,76.9,7.2,355,222,8,4062,3982,35,640,222,6836
PORT NECHES-GROVES ISD,5,4903,2.5,20.7,68.1,0.3,5.6,0.0,2.8,38.6,8.7,274,14,0,1014,122,137,426,3338,1892
BEAUMONT ISD,5,19393,60.1,22.4,12.0,0.2,2.9,0.1,2.3,74.7,7.7,562,38,19,4344,11655,446,1493,2327,14486
SABINE PASS ISD,5,377,18.6,34.5,43.0,0.8,1.6,0.0,1.6,64.5,2.9,6,3,0,130,70,6,10,162,243
HAMSHIRE-FANNETT ISD,5,1781,4.9,14.9,76.8,0.8,1.4,0.3,0.8,29.4,6.4,24,14,5,265,87,14,113,1367,523
JIM HOGG COUNTY ISD,1,1128,0.5,96.1,2.7,0.3,0.3,0.0,0.2,79.8,7.4,3,3,0,1084,5,2,83,30,900
ALICE ISD,2,5226,0.4,94.2,4.6,0.1,0.5,0.0,0.2,78.0,7.7,26,5,0,4922,20,10,402,240,4076
BEN BOLT-PALITO BLANCO ISD,2,624,0.3,90.1,8.7,1.0,0.0,0.0,0.0,67.1,10.3,0,6,0,562,1,0,64,54,418
ORANGE GROVE ISD,2,1908,0.0,60.4,38.6,0.1,0.4,0.0,0.5,54.6,9.9,7,1,0,1152,0,9,188,736,1041
PREMONT ISD,2,504,0.2,97.0,2.8,0.0,0.0,0.0,0.0,81.2,9.7,0,0,0,488,1,0,48,14,409
LA GLORIA ISD,2,118,0.0,98.3,0.8,0.0,0.8,0.0,0.0,43.2,5.9,0,0,0,115,0,0,6,0,50
ALVARADO ISD,11,3493,2.5,32.7,61.4,0.9,0.3,0.0,2.3,59.9,7.3,10,31,0,1142,87,80,254,2144,2092
BURLESON ISD,11,10957,5.2,19.7,70.8,0.8,0.8,0.2,2.5,36.1,8.3,87,87,21,2158,569,273,909,7757,3955
CLEBURNE ISD,11,6547,3.8,43.3,48.2,0.5,0.2,1.3,2.7,66.4,8.6,13,32,85,2834,248,176,563,3155,4347
GRANDVIEW ISD,11,1119,2.1,16.1,78.4,0.9,0.4,0.4,1.7,35.4,8.8,4,10,4,180,23,19,98,877,396
JOSHUA ISD,11,5008,1.0,22.1,73.2,0.7,0.5,0.1,2.4,48.4,7.2,25,35,5,1106,50,120,360,3665,2423
KEENE ISD,11,940,3.9,37.2,37.0,0.7,0.9,16.2,4.0,78.3,7.2,8,6,152,349,36,37,67,347,736
RIO VISTA ISD,11,759,0.4,16.2,81.2,0.5,0.0,0.0,1.7,44.0,11.6,0,3,0,122,3,12,88,616,333
VENUS ISD,11,1956,2.6,52.1,41.8,1.3,0.8,0.1,1.4,71.6,5.7,15,25,1,1019,50,27,111,817,1400
GODLEY ISD,11,1813,1.0,22.8,71.2,2.4,0.3,0.1,2.2,55.9,10.6,5,43,1,413,18,39,192,1290,1013
ANSON ISD,14,713,2.0,50.1,44.6,0.1,0.8,0.0,2.4,64.8,10.4,5,0,0,357,14,17,74,317,462
HAMLIN ISD,14,435,4.1,41.6,49.0,0.0,1.1,0.0,4.1,61.8,10.3,4,0,0,180,17,17,44,213,268
HAWLEY ISD,14,758,0.3,17.9,80.3,0.0,0.0,0.0,1.5,45.5,7.7,0,0,0,135,2,11,58,608,344
LUEDERS-AVOCA ISD,14,116,6.0,12.9,77.6,0.0,0.0,0.0,3.4,74.1,10.3,0,0,0,14,6,3,11,90,85
STAMFORD ISD,14,670,8.8,47.3,39.3,0.3,0.6,0.0,3.7,69.6,8.7,4,2,0,316,58,24,58,263,466
KARNES CITY ISD,3,1062,2.1,70.8,26.2,0.1,0.0,0.1,0.8,57.5,8.3,0,1,1,751,22,8,88,278,610
KENEDY ISD,3,777,2.6,83.9,12.1,0.4,0.0,0.0,1.0,54.7,11.3,0,3,0,651,20,7,87,94,425
RUNGE ISD,3,320,0.0,87.5,12.5,0.0,0.0,0.0,0.0,57.2,10.3,0,0,0,280,0,0,32,40,183
FALLS CITY ISD,20,359,0.8,19.2,79.4,0.0,0.3,0.0,0.3,19.8,7.2,1,0,0,68,2,1,25,285,71
CRANDALL ISD,10,3291,10.3,19.7,66.6,0.5,0.8,0.0,2.0,42.8,7.7,26,16,0,648,338,65,253,2191,1408
FORNEY ISD,10,8982,10.9,24.0,60.3,0.5,1.5,0.1,2.6,25.3,7.7,134,44,8,2155,979,233,691,5416,2272
KAUFMAN ISD,10,3759,5.0,42.6,49.3,0.6,0.6,0.0,1.8,64.5,9.2,22,22,0,1601,187,67,345,1853,2424
KEMP ISD,10,1453,2.3,19.7,74.3,0.8,0.0,0.2,2.6,66.6,10.5,0,11,2,286,33,37,152,1079,967
MABANK ISD,10,3456,1.7,14.4,78.7,0.6,0.8,0.1,3.6,59.9,9.8,27,20,3,497,58,124,338,2719,2070
TERRELL ISD,10,4211,23.6,45.0,27.4,0.5,0.8,0.0,2.7,74.3,9.3,33,21,0,1894,993,113,391,1153,3128
SCURRY-ROSSER ISD,10,1001,3.0,11.8,83.6,0.3,0.1,0.1,1.1,41.5,9.6,1,3,1,118,30,11,96,836,415
MEADOWLAND CHARTER SCHOOL,20,100,4.0,55.0,40.0,0.0,0.0,0.0,1.0,91.0,46.0,0,0,0,55,4,1,46,40,91
BOERNE ISD,20,7472,0.5,29.0,67.3,0.5,0.9,0.1,1.8,18.3,7.1,67,37,7,2166,37,134,530,5028,1367
COMFORT ISD,13,1124,0.2,58.5,39.3,0.3,0.2,0.0,1.6,56.6,9.9,2,3,0,657,2,17,111,441,636
KENEDY COUNTY WIDE CSD,2,78,2.6,91.0,5.1,0.0,1.3,0.0,0.0,62.8,6.4,1,0,0,70,2,0,4,3,48
JAYTON-GIRARD ISD,17,126,0.0,23.8,76.2,0.0,0.0,0.0,0.0,41.3,8.7,0,0,0,29,0,0,10,96,52
CENTER POINT ISD,20,593,1.3,52.8,44.7,0.0,0.0,0.0,1.2,72.2,8.6,0,0,0,313,7,7,50,265,428
HUNT ISD,20,173,0.0,29.5,68.2,0.6,0.0,0.6,1.2,36.4,5.8,0,1,1,51,0,2,10,117,62
KERRVILLE ISD,20,5029,2.0,47.0,47.8,0.3,1.2,0.1,1.6,57.9,7.3,60,15,5,2363,100,80,367,2403,2911
INGRAM ISD,20,1044,0.7,45.3,50.9,0.4,0.5,0.2,2.1,70.0,9.2,5,4,2,472,7,21,96,531,730
DIVIDE ISD,20,9,0.0,33.3,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0,6,0
JUNCTION ISD,15,657,0.0,39.0,59.1,0.0,0.8,0.0,1.2,61.5,9.6,5,0,0,256,0,7,63,388,404
GUTHRIE CSD,17,113,0.0,14.2,85.8,0.0,0.0,0.0,0.0,0.0,4.4,0,0,0,16,0,0,4,96,0
BRACKETT ISD,20,640,0.8,67.7,30.5,0.2,0.2,0.0,0.8,60.2,10.3,1,1,0,433,5,5,65,195,385
KINGSVILLE ISD,2,3427,3.5,86.8,8.5,0.2,0.9,0.0,0.1,76.8,10.7,30,6,0,2974,119,3,366,291,2631
RICARDO ISD,2,681,0.1,82.5,16.0,0.0,1.2,0.0,0.1,54.6,5.0,8,0,0,561,0,0,34,108,371
RIVIERA ISD,2,428,0.2,73.8,24.8,0.2,0.5,0.0,0.5,62.1,6.8,2,0,0,315,0,2,29,106,265
SANTA GERTRUDIS ISD,2,630,1.1,76.8,19.7,0.0,1.3,0.0,1.1,35.4,2.9,8,0,0,483,6,6,18,124,223
KNOX CITY-O'BRIEN CISD,9,311,5.1,51.4,40.8,0.6,0.0,0.0,1.9,69.8,13.8,0,1,0,159,15,5,42,126,217
MUNDAY CISD,9,385,6.8,51.7,36.4,0.0,0.0,0.0,5.2,70.6,15.8,0,0,0,199,26,20,60,140,271
BENJAMIN ISD,9,96,0.0,36.5,62.5,0.0,0.0,0.0,1.0,76.0,12.5,0,0,0,35,0,0,12,60,72
CHISUM ISD,8,906,5.3,7.6,82.3,1.9,0.0,0.0,2.9,49.8,9.7,0,17,0,68,48,26,87,745,451
ROXTON ISD,8,153,11.8,13.1,71.9,0.0,0.0,0.0,3.3,71.9,13.1,0,0,0,20,18,5,20,110,110
PARIS ISD,8,3552,33.7,20.9,37.8,1.0,0.8,0.0,5.8,78.4,11.2,28,35,0,742,1197,206,397,1342,2784
NORTH LAMAR ISD,8,2813,4.6,7.4,82.0,2.4,1.0,0.1,2.6,46.5,13.8,28,67,2,208,129,73,388,2306,1308
PRAIRILAND ISD,8,1131,0.9,8.7,86.7,1.0,0.0,0.0,2.7,54.0,10.6,0,11,0,98,10,30,119,980,610
AMHERST ISD,17,160,4.4,83.8,11.9,0.0,0.0,0.0,0.0,81.9,14.4,0,0,0,134,7,0,23,19,131
LITTLEFIELD ISD,17,1447,7.0,69.5,21.5,0.3,0.3,0.0,1.5,74.5,10.6,4,4,0,1005,101,21,153,311,1078
OLTON ISD,17,637,1.3,78.5,19.8,0.0,0.0,0.0,0.5,74.7,8.2,0,0,0,500,8,3,52,126,475
SPRINGLAKE-EARTH ISD,17,384,2.6,65.4,31.5,0.3,0.3,0.0,0.0,66.4,13.5,1,1,0,251,9,0,51,120,254
SUDAN ISD,17,433,0.9,53.6,43.0,0.5,0.0,0.0,2.1,52.7,8.8,0,2,0,232,3,9,38,186,228
LAMPASAS ISD,12,3363,2.3,24.6,67.6,0.7,1.3,0.4,3.0,51.8,10.4,43,23,13,827,77,100,349,2273,1742
LOMETA ISD,12,268,0.0,52.6,44.0,0.4,1.1,0.0,1.9,71.6,9.0,2,1,0,140,0,5,24,117,191
COTULLA ISD,20,1352,0.1,93.5,5.5,0.1,0.5,0.0,0.1,82.1,9.2,6,1,0,1264,1,1,124,74,1109
HALLETTSVILLE ISD,3,1040,10.3,18.7,67.1,0.2,0.5,0.0,3.3,40.3,9.8,5,2,0,194,107,34,101,697,419
MOULTON ISD,3,317,0.6,45.4,52.1,0.6,0.0,0.0,1.3,51.1,10.1,0,1,0,143,1,4,32,165,161
