DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,total EXPULSION ACTIONS,ratio ECO. DISADV. EXPULSION ACTIONS vs average,ratio SPEC. ED. EXPULSION ACTIONS vs average,ratio BLACK OR AFRICAN AMERICAN EXPULSION ACTIONS vs average,ratio HISPANIC/LATINO EXPULSION ACTIONS vs average,ratio WHITE EXPULSION ACTIONS vs average,ratio AMERICAN INDIAN OR ALASKA NAT EXPULSION ACTIONS vs average,ratio ASIAN EXPULSION ACTIONS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC EXPULSION ACTIONS vs average,ratio TWO OR MORE RACES EXPULSION ACTIONS vs average
022004,TERLINGUA CSD,18,99,0,76.8,21.2,2,0,0,0,73.7,10.1,0,1,1,1,1,1,1,1,1,1
022901,ALPINE ISD,18,1047,0.7,64.5,32.8,0.1,1.1,0,1,50.9,8.2,1,1.9646,12.1951,0,0,3.0488,0,0,1,0
022902,MARATHON ISD,18,41,0,82.9,14.6,0,0,0,2.4,90.2,4.9,0,1,1,1,1,1,1,1,1,1
022903,SAN VICENTE ISD,18,24,0,37.5,54.2,0,0,0,8.3,41.7,4.2,0,1,1,1,1,1,1,1,1,1
023902,SILVERTON ISD,16,187,2.1,41.2,54.5,0,0,0,2.1,54.5,9.1,0,1,1,1,1,1,1,1,1,1
024901,BROOKS COUNTY ISD,02,1532,0,98.5,1.2,0.1,0.1,0,0,85.5,8.4,1,1.1696,11.9048,1,1.0152,0,0,0,1,1
025901,BANGS ISD,15,1055,3,24.7,69.1,0.2,0.4,0.1,2.5,46.5,10.5,0,1,1,1,1,1,1,1,1,1
025902,BROWNWOOD ISD,15,3504,5.4,38.6,52.1,0.5,0.7,0.1,2.7,63.9,9.1,2,0.7825,0,9.2593,1.2953,0,0,0,0,0
025904,BLANKET ISD,15,215,1.4,24.7,70.7,1.9,0.5,0,0.9,54.4,12.6,1,1.8382,7.9365,0,0,1.4144,0,0,1,0
025905,MAY ISD,15,259,0.4,21.6,76.8,0.4,0,0,0.8,53.7,10.8,0,1,1,1,1,1,1,1,1,1
025906,ZEPHYR ISD,15,211,0.5,10,85.3,0,0,0,4.3,69.2,6.6,0,1,1,1,1,1,1,1,1,1
025908,BROOKESMITH ISD,15,177,0,20.9,77.4,0,0,0,1.7,68.9,13,0,1,1,1,1,1,1,1,1,1
025909,EARLY ISD,15,1168,1.6,22.4,72.5,0.2,1.5,0.1,1.7,45.7,10.4,0,1,1,1,1,1,1,1,1,1
026901,CALDWELL ISD,06,1766,9.9,35,52.8,0.3,0.5,0,1.6,54.2,6.5,0,1,1,1,1,1,1,1,1,1
026902,SOMERVILLE ISD,06,511,24.9,32.3,38.9,0.4,0,0,3.5,75.5,11.7,0,1,1,1,1,1,1,1,1,1
026903,SNOOK ISD,06,503,30.8,25,42.7,0.2,0,0,1.2,66.2,9.1,0,1,1,1,1,1,1,1,1,1
027903,BURNET CISD,13,3218,1.3,29.2,66.6,0.5,0.3,0.1,2,58.6,9.6,0,1,1,1,1,1,1,1,1,1
027904,MARBLE FALLS ISD,13,3993,2.6,43.2,51.6,0.4,0.6,0.4,1.2,60.9,10.8,0,1,1,1,1,1,1,1,1,1
028902,LOCKHART ISD,13,5113,4.8,67.7,25.2,0.4,0.3,0,1.5,70.3,12,3,0.4742,0,6.9444,0.4924,1.3228,0,0,1,0
028903,LULING ISD,13,1427,6.9,61.4,30.1,0.2,0.1,0,1.3,72.5,9.7,0,1,1,1,1,1,1,1,1,1
028906,PRAIRIE LEA ISD,13,176,8,46,43.8,1.1,0,0,1.1,71.6,13.1,0,1,1,1,1,1,1,1,1,1
029901,CALHOUN COUNTY ISD,03,4278,1.8,62.1,29.8,0.3,5.1,0,0.8,61.2,8.5,1,1.6340,0,0,1.6103,0,0,0,1,0
030901,CROSS PLAINS ISD,14,337,0,8.6,89.6,0.9,0.3,0,0.6,63.2,8.9,1,1.5823,11.2360,1,0,0,0,0,1,166.6667
030902,CLYDE CISD,14,1448,1.1,14,82.6,0.1,0.1,0.1,2,47.2,8.8,1,0,0,0,0,1.2107,0,0,0,0
030903,BAIRD ISD,14,323,0.6,22,76.5,0,0.6,0,0.3,70.9,10.2,0,1,1,1,1,1,1,1,1,1
030906,EULA ISD,14,345,0.9,11.6,82.3,0.3,0.9,0,4.1,48.7,8.4,0,1,1,1,1,1,1,1,1,1
031803,HARMONY SCIENCE ACADEMY - BROWNSVI,01,442,0.7,93.4,4.5,0,1.1,0,0.2,81.4,2.7,0,1,1,1,1,1,1,1,1,1
031901,BROWNSVILLE ISD,01,49314,0.1,98.7,1,0,0.2,0,0,96.1,10.2,2,19.7711,58.8235,0,0.5066,50.0000,1,0,1,1
031903,HARLINGEN CISD,01,18475,0.5,91.4,7.2,0.2,0.6,0,0.1,78.8,8.4,2,0.6345,53.5714,0,0.5470,6.9444,0,0,1,0
031905,LA FERIA ISD,01,3597,0.1,96.5,3,0.2,0.1,0,0.2,81.1,7.1,6,1.2330,2.3474,0,1.0363,0,0,0,1,0
031906,LOS FRESNOS CISD,01,10523,0.2,96.3,3.1,0.1,0.2,0,0.1,75.8,6.9,15,0.0880,0.9662,0,1.0384,0,0,0,1,0
031909,POINT ISABEL ISD,01,2637,0.4,91.2,7.2,0.3,0.3,0,0.5,89.5,8.8,1,1.1173,0,0,1.0965,0,0,0,1,0
