DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP
020907,COLUMBIA-BRAZORIA ISD,04,3042,11.2,27.8,57.9,0.2,0.3,0,2.5,53.3,8.5
020908,PEARLAND ISD,04,19964,16.1,29.7,41.1,0.5,9.8,0.1,2.8,27.8,8.8
020910,DAMON ISD,04,187,1.6,47.6,47.6,0,0.5,0,2.7,80.7,9.1
021803,BRAZOS SCHOOL FOR INQUIRY & CREATI,06,478,50,42.9,6.1,0,0.4,0,0.6,93.5,7.5
021805,ARROW ACADEMY,06,927,66.6,31.8,0.8,0,0.3,0.1,0.4,83.6,4.4
021901,COLLEGE STATION ISD,06,11607,13.9,21.4,53.6,0.3,7.7,0.1,3,34.5,8.3
021902,BRYAN ISD,06,15723,19.7,53.5,24.9,0.2,0.4,0.1,1.2,74,7.7
022004,TERLINGUA CSD,18,99,0,76.8,21.2,2,0,0,0,73.7,10.1
022901,ALPINE ISD,18,1047,0.7,64.5,32.8,0.1,1.1,0,1,50.9,8.2
022902,MARATHON ISD,18,41,0,82.9,14.6,0,0,0,2.4,90.2,4.9
022903,SAN VICENTE ISD,18,24,0,37.5,54.2,0,0,0,8.3,41.7,4.2
023902,SILVERTON ISD,16,187,2.1,41.2,54.5,0,0,0,2.1,54.5,9.1
024901,BROOKS COUNTY ISD,02,1532,0,98.5,1.2,0.1,0.1,0,0,85.5,8.4
025901,BANGS ISD,15,1055,3,24.7,69.1,0.2,0.4,0.1,2.5,46.5,10.5
025902,BROWNWOOD ISD,15,3504,5.4,38.6,52.1,0.5,0.7,0.1,2.7,63.9,9.1
025904,BLANKET ISD,15,215,1.4,24.7,70.7,1.9,0.5,0,0.9,54.4,12.6
025905,MAY ISD,15,259,0.4,21.6,76.8,0.4,0,0,0.8,53.7,10.8
025906,ZEPHYR ISD,15,211,0.5,10,85.3,0,0,0,4.3,69.2,6.6
025908,BROOKESMITH ISD,15,177,0,20.9,77.4,0,0,0,1.7,68.9,13
025909,EARLY ISD,15,1168,1.6,22.4,72.5,0.2,1.5,0.1,1.7,45.7,10.4
026901,CALDWELL ISD,06,1766,9.9,35,52.8,0.3,0.5,0,1.6,54.2,6.5
026902,SOMERVILLE ISD,06,511,24.9,32.3,38.9,0.4,0,0,3.5,75.5,11.7
026903,SNOOK ISD,06,503,30.8,25,42.7,0.2,0,0,1.2,66.2,9.1
027903,BURNET CISD,13,3218,1.3,29.2,66.6,0.5,0.3,0.1,2,58.6,9.6
027904,MARBLE FALLS ISD,13,3993,2.6,43.2,51.6,0.4,0.6,0.4,1.2,60.9,10.8
028902,LOCKHART ISD,13,5113,4.8,67.7,25.2,0.4,0.3,0,1.5,70.3,12
028903,LULING ISD,13,1427,6.9,61.4,30.1,0.2,0.1,0,1.3,72.5,9.7
028906,PRAIRIE LEA ISD,13,176,8,46,43.8,1.1,0,0,1.1,71.6,13.1
029901,CALHOUN COUNTY ISD,03,4278,1.8,62.1,29.8,0.3,5.1,0,0.8,61.2,8.5
030901,CROSS PLAINS ISD,14,337,0,8.6,89.6,0.9,0.3,0,0.6,63.2,8.9
030902,CLYDE CISD,14,1448,1.1,14,82.6,0.1,0.1,0.1,2,47.2,8.8
030903,BAIRD ISD,14,323,0.6,22,76.5,0,0.6,0,0.3,70.9,10.2
030906,EULA ISD,14,345,0.9,11.6,82.3,0.3,0.9,0,4.1,48.7,8.4
031803,HARMONY SCIENCE ACADEMY - BROWNSVI,01,442,0.7,93.4,4.5,0,1.1,0,0.2,81.4,2.7
031901,BROWNSVILLE ISD,01,49314,0.1,98.7,1,0,0.2,0,0,96.1,10.2
031903,HARLINGEN CISD,01,18475,0.5,91.4,7.2,0.2,0.6,0,0.1,78.8,8.4
031905,LA FERIA ISD,01,3597,0.1,96.5,3,0.2,0.1,0,0.2,81.1,7.1
031906,LOS FRESNOS CISD,01,10523,0.2,96.3,3.1,0.1,0.2,0,0.1,75.8,6.9
031909,POINT ISABEL ISD,01,2637,0.4,91.2,7.2,0.3,0.3,0,0.5,89.5,8.8
031911,RIO HONDO ISD,01,2168,0.1,96.7,3.1,0,0,0,0,86.1,7.2
031912,SAN BENITO CISD,01,11010,0,99,0.8,0,0,0,0.1,83,7.5
031913,SANTA MARIA ISD,01,727,0,98.9,1.1,0,0,0,0,96,5.6
031914,SANTA ROSA ISD,01,1170,0.1,99.2,0.7,0,0,0,0,96.2,7.9
031916,SOUTH TEXAS ISD,01,3353,1.1,81.6,5.7,0,10.8,0,0.8,60.5,1.2
032902,PITTSBURG ISD,08,2449,17.3,38,40.5,0.6,1,0.2,2.4,78.9,10.8
033901,GROOM ISD,16,134,0.7,11.9,84.3,0,0.7,0,2.2,30.6,7.5
033902,PANHANDLE ISD,16,670,1.2,7.9,89,0.4,0.4,0.1,0.9,22.5,8.4
033904,WHITE DEER ISD,16,378,0,12.4,86,0.5,0,0,1.1,42.6,6.1
034901,ATLANTA ISD,08,1825,33.6,7,55.9,0.5,0.5,0.1,2.3,64.5,9.2
034902,AVINGER ISD,08,152,15.8,11.8,65.1,0.7,0,0,6.6,88.2,7.2
034903,HUGHES SPRINGS ISD,08,1204,13.4,9.7,72,0.2,0.3,0.1,4.2,57.7,7.1
034905,LINDEN-KILDARE CISD,08,751,20.9,9.3,65.5,0.1,1.6,0,2.5,73.2,10.4
034906,MCLEOD ISD,08,411,1.2,0.7,96.1,0.2,0.5,0,1.2,40.9,9.2
034907,QUEEN CITY ISD,08,1015,14.2,3.5,77.2,0.7,0.5,0,3.8,55.3,8.5
034909,BLOOMBURG ISD,08,265,1.1,3.8,91.3,1.5,1.5,0,0.8,57.7,9.4
035901,DIMMITT ISD,16,1231,1.5,85.4,12.4,0,0.3,0,0.4,89.3,6.7
035902,HART ISD,16,250,1.6,96.4,1.2,0,0,0,0.8,91.2,8.4
035903,NAZARETH ISD,16,227,0.9,12.3,85.5,0.9,0,0,0.4,21.6,7
036901,ANAHUAC ISD,04,1228,14.3,30.3,49.2,0.7,2.4,0,3.1,53.9,7.9
036902,BARBERS HILL ISD,04,4676,3,20.8,73,0.6,0.8,0,1.8,20,6.3
036903,EAST CHAMBERS ISD,05,1409,7.6,38.5,50.9,0,1.1,0,1.9,56.1,8.5
037901,ALTO ISD,07,649,25.9,29.1,40.5,0,0.3,0,4.2,71.8,9.2
037904,JACKSONVILLE ISD,07,4938,17,49.5,30.5,0.3,0.5,0.1,2.2,80.6,8.8
037907,RUSK ISD,07,2225,14.6,15.1,66.6,0.4,0.3,0,2.9,60.9,10.7
037908,NEW SUMMERFIELD ISD,07,510,4.1,82.5,11.8,0.2,0.6,0,0.8,94.3,6.7
037909,WELLS ISD,07,317,9.1,8.8,77.9,0,0,0,4.1,66.9,6.6
038901,CHILDRESS ISD,16,1128,5,37,54,0.7,1.5,0.1,1.8,57.4,9
039902,HENRIETTA ISD,09,948,0.6,7.8,87.2,1.1,0.2,0,3.1,44.2,11.2
039903,PETROLIA ISD,09,508,0.6,10.6,83.9,1.8,0,0,3.1,46.3,8.9
039904,BELLEVUE ISD,09,144,0,4.2,87.5,2.8,0,0,5.6,43.1,11.1
039905,MIDWAY ISD,09,106,0,2.8,96.2,0.9,0,0,0,37.7,17
040901,MORTON ISD,17,449,2.7,86.4,10.5,0,0,0,0.4,92.2,7.8
