DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,total DAEP PLACEMENTS,ratio ECO. DISADV. DAEP PLACEMENTS vs average,ratio SPEC. ED. DAEP PLACEMENTS vs average,ratio BLACK OR AFRICAN AMERICAN DAEP PLACEMENTS vs average,ratio HISPANIC/LATINO DAEP PLACEMENTS vs average,ratio WHITE DAEP PLACEMENTS vs average,ratio AMERICAN INDIAN OR ALASKA NAT DAEP PLACEMENTS vs average,ratio ASIAN DAEP PLACEMENTS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC DAEP PLACEMENTS vs average,ratio TWO OR MORE RACES DAEP PLACEMENTS vs average
015826,KIPP SAN ANTONIO,20,1485,2.8,94.7,2,0,0.1,0,0.3,85.9,8,1,1.1641,0,0,1.0560,0,1,0,1,0
015827,SCHOOL OF SCIENCE AND TECHNOLOGY,20,855,13.8,56.1,22.6,0,3.5,0.1,3.9,54.3,6.1,0,1,1,1,1,1,1,1,1,1
015828,HARMONY SCIENCE ACAD (SAN ANTONIO),20,2266,9.3,73.4,13.9,0.3,1.5,0.1,1.5,65.4,5.6,0,1,1,1,1,1,1,1,1,1
015830,BROOKS ACADEMY OF SCIENCE AND ENGI,20,1509,1.9,88.3,8.7,0.2,0.7,0,0.3,57.9,4.6,0,1,1,1,1,1,1,1,1,1
015831,SCHOOL OF SCIENCE AND TECHNOLOGY D,20,1014,6.9,68.1,18.4,0.2,5.1,0.1,1.1,59,5.7,0,1,1,1,1,1,1,1,1,1
015832,CITY CENTER HEALTH CAREERS,20,144,7.6,91,1.4,0,0,0,0,91,6.3,0,1,1,1,1,1,1,1,1,1
015833,HENRY FORD ACADEMY ALAMEDA SCHOOL,20,181,2.2,84.5,10.5,1.7,0,0.6,0.6,38.1,8.8,0,1,1,1,1,1,1,1,1,1
015834,BASIS SAN ANTONIO,20,508,2.8,40,31.1,0.2,21.7,0.2,4.1,5.5,2.4,0,1,1,1,1,1,1,1,1,1
015836,ELEANOR KOLITZ HEBREW LANGUAGE ACA,20,196,1,46.4,46.9,0,0.5,0,5.1,11.2,2.6,0,1,1,1,1,1,1,1,1,1
015901,ALAMO HEIGHTS ISD,20,4815,1.5,39.4,54.8,0.2,2.2,0,2,20.1,6.9,46,3.8936,2.2054,1.4493,2.3725,0.0397,0,0,1,1.0870
015904,HARLANDALE ISD,20,15316,0.4,97.3,2,0.1,0.1,0,0.1,88.2,9.2,469,1.0516,2.2713,0.5330,1.0212,0.1066,0,2.1322,1,0
015905,EDGEWOOD ISD,20,12059,1,98.3,0.4,0,0.1,0,0.1,98.7,9.5,308,1.0165,2.0848,0.3247,1.0074,0,1,3.2468,1,3.2468
015906,RANDOLPH FIELD ISD,20,1177,17.7,21.2,46.6,0.3,2.8,0.8,10.6,9.8,5.7,2,0,0,2.8249,0,1.0730,0,0,0,0
015907,SAN ANTONIO ISD,20,53811,6.3,91.2,1.8,0.1,0.2,0,0.4,93.4,10.1,793,1.0342,1.8853,1.6013,0.9803,0.0701,1.2610,0.6305,1,0.3153
015908,SOUTH SAN ANTONIO ISD,20,10007,1.1,96.9,1.6,0.1,0.1,0,0.2,89.7,6.9,254,0.9919,2.9670,0.3579,0.9954,1.7224,0,3.9370,1,0
015909,SOMERSET ISD,20,3934,0.7,86.2,11.8,0.3,0.1,0.1,0.8,78.2,9,76,1.0432,1.6082,0,1.0074,1.1151,0,0,0,0
015910,NORTH EAST ISD,20,67986,7.1,56.9,29.1,0.3,3.6,0.2,2.9,46.5,8.8,1063,1.5355,2.3091,2.2525,1.0647,0.6498,0.3136,0.3658,0.4704,1.0381
